MallManagementCompanyID,Address
MMC1001,"123 Orchard Road, Singapore 238856"
MMC1002,"456 Sentosa Gateway, Singapore 098534"
MMC1003,"789 Raffles Place, Singapore 048625"
MMC1004,"101 Marina Boulevard, Singapore 018989"
MMC1005,"234 Serangoon Road, Singapore 218085"
MMC1006,"567 Tampines Avenue, Singapore 529653"
MMC1007,"890 Clementi Street, Singapore 129957"
MMC1008,"321 Balestier Road, Singapore 329765"
MMC1009,"654 Changi Business Park, Singapore 486849"
MMC1010,"987 Bukit Timah Road, Singapore 589629"